(54.3523, 126.361), (-45.2675, 133.574)
(54.3523, 126.361), (45.6477, 51.9125)
(54.3523, 126.361), (53.972, -59.1257)
(-45.2675, 133.574), (-53.972, 59.1257)
(-45.2675, 133.574), (-45.6477, -51.9125)
(45.6477, 51.9125), (-53.972, 59.1257)
(45.6477, 51.9125), (45.2675, -133.574)
(-53.972, 59.1257), (-54.3523, -126.361)
(53.972, -59.1257), (-45.6477, -51.9125)
(53.972, -59.1257), (45.2675, -133.574)
(-45.6477, -51.9125), (-54.3523, -126.361)
(45.2675, -133.574), (-54.3523, -126.361)
(58.6383, 77.0399), (-39.8463, 72.0371)
(58.6383, 77.0399), (41.3617, 122.633)
(58.6383, 77.0399), (57.1229, -117.63)
(-39.8463, 72.0371), (-57.1229, 117.63)
(-39.8463, 72.0371), (-41.3617, -122.633)
(41.3617, 122.633), (-57.1229, 117.63)
(41.3617, 122.633), (39.8463, -72.0371)
(-57.1229, 117.63), (-58.6383, -77.0399)
(57.1229, -117.63), (-41.3617, -122.633)
(57.1229, -117.63), (39.8463, -72.0371)
(-41.3617, -122.633), (-58.6383, -77.0399)
(39.8463, -72.0371), (-58.6383, -77.0399)
(62.7929, 13.8745), (-33.8191, -18.9319)
(62.7929, 13.8745), (37.2071, 155.886)
(62.7929, 13.8745), (59.405, -123.08)
(-33.8191, -18.9319), (-59.405, 123.08)
(-33.8191, -18.9319), (-37.2071, -155.886)
(37.2071, 155.886), (-59.405, 123.08)
(37.2071, 155.886), (33.8191, 18.9319)
(-59.405, 123.08), (-62.7929, -13.8745)
(59.405, -123.08), (-37.2071, -155.886)
(59.405, -123.08), (33.8191, 18.9319)
(-37.2071, -155.886), (-62.7929, -13.8745)
(33.8191, 18.9319), (-62.7929, -13.8745)
(66.753, -20.9521), (-27.2774, -78.7417)
(66.753, -20.9521), (33.247, 154.774)
(66.753, -20.9521), (60.7834, -96.9839)
(-27.2774, -78.7417), (-60.7834, 96.9839)
(-27.2774, -78.7417), (-33.247, -154.774)
(33.247, 154.774), (-60.7834, 96.9839)
(33.247, 154.774), (27.2774, 78.7417)
(-60.7834, 96.9839), (-66.753, 20.9521)
(60.7834, -96.9839), (-33.247, -154.774)
(60.7834, -96.9839), (27.2774, 78.7417)
(-33.247, -154.774), (-66.753, 20.9521)
(27.2774, 78.7417), (-66.753, 20.9521)
